IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2005240522,115.0,0,0,CASTILLA Y LEON,LEON,LA BAÃ‘EZA,CASTROCALBON,42.227156,-6.044981,2005-06-20,286,1455,4,Sin datos,76,8,1,0,0
2005490102,115.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.219509,-6.843442,2005-02-02,1260,1620,4,Provocados por pastores y ganaderos para regenerar el pasto,3,0,0,0,0
2005490490,115.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÃ�AS,42.067049,-6.985022,2005-05-08,330,360,4,Sin datos,14,1,0,1027,0
2003090125,114.0,0,0,CASTILLA Y LEON,BURGOS,ESPINOSA DE LOS MONTEROS,VALLE DE MENA,43.115532,-3.270148,2003-08-13,1050,1170,4,Sin datos,87,12,6,0,22983
2003240230,114.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BALBOA,42.717219,-6.917798,2003-08-04,2169,2169,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),44,3,2,0,0
2005490715,114.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,GALENDE,42.139851,-6.729704,2005-08-24,21780,23460,6,INCENDIO REPRODUCIDO,137,2,5,0,0
2009240250,114.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BARJAS,42.634999,-6.961089,2009-03-21,577,754,4,Sin datos,27,0,3,0,0
2011240583,114.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VILLAFRANCA DEL BIERZO,42.76074,-6.819418,2011-10-17,4404,5983,4,Sin datos,95,6,5,0,0
2009240293,113.7,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BARJAS,42.610633,-6.923254,2009-03-24,1575,1575,6,INCENDIO REPRODUCIDO,49,3,4,0,0
2009240375,112.1,0,0,CASTILLA Y LEON,LEON,LA VECILLA-LA ROBLA,ROBLA LA,42.809205,-5.527,2009-04-05,1163,1444,6,INCENDIO REPRODUCIDO,34,4,8,0,0
2005370346,112.0,0,0,CASTILLA Y LEON,SALAMANCA,BEJAR,ALDEACIPRESTE,40.420689,-5.886939,2005-07-16,460,550,4,Sin datos,92,0,4,0,22760
2007490247,112.0,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,FIGUERUELA DE ARRIBA,41.875391,-6.411575,2007-11-02,418,523,4,Provocados para ahuyentar animales (lobos - jabalÃ­es),33,5,6,0,0
2009370302,111.2,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,VILLAR DE PERALONSO,41.058809,-6.167256,2009-08-15,642,4751,1,RAYO,55,2,0,0,0
2003400040,111.02,0,0,CASTILLA Y LEON,SEGOVIA,NAVAFRIA,SANTIUSTE DE PEDRAZA,41.074628,-3.910649,2003-08-05,1005,1255,1,RAYO,82,15,1,0,0
2010490094,110.2,0,0,CASTILLA Y LEON,ZAMORA,BERMILLO DE SAYAGO,ROELOS DE SAYAGO,41.272896,-6.165961,2010-08-25,1030,3310,2,TRABAJOS FORESTALES,59,3,3,1484,0
2001240447,110.0,0,0,CASTILLA Y LEON,LEON,ASTORGA,LUCILLO,42.39001,-6.372047,2001-09-08,315,525,4,Sin datos,71,3,1,4550,0
2001240522,110.0,0,0,CASTILLA Y LEON,LEON,LA VECILLA-LA ROBLA,POLA DE GORDON LA,42.876039,-5.690063,2001-09-16,3300,3360,4,Sin datos,47,2,2,4141,1638741
2001490222,110.0,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,VILLALCAMPO,41.528373,-6.054494,2001-09-06,495,615,4,Sin datos,35,2,1,0,0
2003090014,110.0,0,0,CASTILLA Y LEON,BURGOS,ESPINOSA DE LOS MONTEROS,ESPINOSA DE LOS MONTEROS,43.114291,-3.597636,2003-03-20,420,450,4,Provocados por pastores y ganaderos para regenerar el pasto,18,1,1,0,11522
2003240242,110.0,0,0,CASTILLA Y LEON,LEON,BEMBIBRE,IGUEÃ‘A,42.738066,-6.265317,2003-08-05,1590,3045,1,RAYO,30,0,1,0,12941
2004490553,110.0,0,0,CASTILLA Y LEON,ZAMORA,BERMILLO DE SAYAGO,FERMOSELLE,41.281302,-6.333694,2004-10-04,2220,4320,4,Sin datos,44,2,5,0,0
2005240711,110.0,0,0,CASTILLA Y LEON,LEON,CANALES-LA MAGDALENA,MURIAS DE PAREDES,42.837035,-6.191528,2005-08-16,4184,7244,1,RAYO,92,7,7,0,0
2005240758,110.0,0,0,CASTILLA Y LEON,LEON,VILLABLINO-HUERGAS DE BABIA,CABRILLANES,42.928819,-6.15245,2005-08-29,4418,5924,4,Sin datos,193,0,8,0,0
2006050029,110.0,0,0,CASTILLA Y LEON,AVILA,EL TIEMBLO,TIEMBLO EL,40.431295,-4.544601,2006-06-06,720,1680,3,MOTORES Y MÃ�QUINAS (SIN ESPECIFICAR),86,13,6,0,0
2010240015,110.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,OENCIA,42.568479,-6.969893,2010-03-16,1560,1740,4,Sin datos,12,1,0,0,0
2010240173,109.4,0,0,CASTILLA Y LEON,LEON,VILLABLINO-HUERGAS DE BABIA,PALACIOS DEL SIL,42.872387,-6.456672,2010-08-21,1210,2830,4,Sin datos,146,3,12,0,0
2003240056,109.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,CORULLON,42.576302,-6.854348,2003-04-03,384,425,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),15,1,0,0,0
2011240580,108.6,0,1,CASTILLA Y LEON,LEON,VEGA DE ESPINAREDA,CANDIN,42.892065,-6.79064,2011-10-16,3868,4529,2,QUEMA PARA REG. PASTOS (OTRAS QUEMAS PARA PASTOS),65,0,6,0,0
2003240270,108.5,0,0,CASTILLA Y LEON,LEON,PONFERRADA,PONFERRADA,42.499036,-6.562925,2003-08-08,1268,1868,4,Sin datos,59,9,7,0,113057
2005490582,108.0,0,0,CASTILLA Y LEON,ZAMORA,BENAVENTE,AYOO DE VIDRIALES,42.118615,-6.050154,2005-06-24,371,1675,4,Sin datos,37,6,3,9336,0
2006490230,108.0,0,0,CASTILLA Y LEON,ZAMORA,TABARA,VEGALATRAVE,41.712078,-6.101967,2006-08-31,283,1900,4,Sin datos,60,5,9,0,0
2009490207,108.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.159817,-6.844835,2009-03-20,1500,1530,4,Provocados por pastores y ganaderos para regenerar el pasto,17,0,2,0,0
2004241107,107.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VILLAFRANCA DEL BIERZO,42.701857,-6.807451,2004-02-10,1290,1350,4,Sin datos,32,0,0,0,0
2009240288,107.0,0,0,CASTILLA Y LEON,LEON,BEMBIBRE,IGUEÃ‘A,42.767034,-6.305116,2009-02-21,0,0,2,QUEMA DE MATORRAL (SIN ESPECIFICAR),0,0,0,0,0
2002240070,106.05,0,0,CASTILLA Y LEON,LEON,ASTORGA,MAGAZ DE CEPEDA,42.57011,-6.107663,2002-03-10,360,370,4,Sin datos,17,3,0,0,7891
2007240285,105.92,0,0,CASTILLA Y LEON,LEON,VEGA DE ESPINAREDA,PERANZANES,42.901477,-6.680319,2007-11-09,1314,5924,4,Provocados por cazadores para facilitar la caza,38,0,5,0,0
2011240144,105.41,0,0,CASTILLA Y LEON,LEON,VILLABLINO-HUERGAS DE BABIA,VILLABLINO,43.037447,-6.352382,2011-04-07,500,500,4,Sin datos,9,0,1,0,0
2002490167,105.0,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,LUBIAN,42.051915,-6.891059,2002-04-22,2220,2370,4,Sin datos,8,1,2,0,21537
2005490476,105.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÃ�AS,42.110646,-6.947404,2005-04-29,300,420,4,Provocados por pastores y ganaderos para regenerar el pasto,2,0,0,0,0
2003240028,104.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,TRABADELO,42.649719,-6.871984,2003-03-19,1290,1291,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),7,0,2,0,0
2010090132,104.0,0,0,CASTILLA Y LEON,BURGOS,ESPINOSA DE LOS MONTEROS,ESPINOSA DE LOS MONTEROS,43.1104,-3.569575,2010-10-02,1068,2111,4,Provocados por pastores y ganaderos para regenerar el pasto,38,3,1,0,0
2001490280,103.93,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.159817,-6.844835,2001-09-15,45,540,4,Provocados por pastores y ganaderos para regenerar el pasto,33,0,4,0,0
2011490011,102.8,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÃ�AS,42.09721,-6.97686,2011-01-24,1560,2340,2,QUEMA DE MATORRAL (PARA LIMPIEZA DE CAMINOS O SENDAS),11,1,0,0,0
2011370001,102.63,0,0,CASTILLA Y LEON,SALAMANCA,BEJAR,CANDELARIO,40.359351,-5.709769,2011-01-25,1216,1436,4,Provocados por pastores y ganaderos para regenerar el pasto,26,2,4,0,0
2006240493,102.5,0,0,CASTILLA Y LEON,LEON,BEMBIBRE,IGUEÃ‘A,42.666034,-6.216567,2006-09-20,356,1274,4,Provocados por pastores y ganaderos para regenerar el pasto,55,3,4,0,0
2005490695,102.0,0,0,CASTILLA Y LEON,ZAMORA,TABARA,RIOFRIO DE ALISTE,41.846136,-6.252158,2005-08-19,480,480,4,Sin datos,107,10,10,13522,0
2011400067,102.0,0,0,CASTILLA Y LEON,SEGOVIA,EL ESPINAR,OTRA PROVINCIA,40.679242,-4.424885,2011-08-11,235,435,2,FUMADORES,16,3,1,0,0
2002240082,101.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BALBOA,42.717219,-6.917798,2002-03-22,0,0,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),7,0,0,0,53512
2008240093,101.0,0,0,CASTILLA Y LEON,LEON,BEMBIBRE,TORRE DEL BIERZO,42.622949,-6.365889,2008-02-08,0,0,4,Provocados por campesinos para eliminar matorral y residuos agrÃ­colas,8,1,0,0,0
2008240491,101.0,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,VILLAFRANCA DEL BIERZO,42.726413,-6.774796,2008-08-27,544,1894,4,Sin datos,75,5,8,0,0
2001240252,100.0,0,0,CASTILLA Y LEON,LEON,ASTORGA,BRAZUELO,42.512927,-6.17671,2001-08-07,290,1250,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),87,5,2,4381,0
2001490414,100.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.159817,-6.844835,2001-12-17,2700,2700,4,Provocados por cazadores para facilitar la caza,25,0,0,0,0
2001490416,100.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PÃ�AS,42.097883,-6.971082,2001-12-17,1620,2580,4,Provocados por pastores y ganaderos para regenerar el pasto,11,0,0,0,0
2002240115,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,ENCINEDO,42.265003,-6.640489,2002-03-25,0,0,4,Provocados por pastores y ganaderos para regenerar el pasto,1,0,0,0,0
2002370129,100.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,PEREÃ‘A DE LA RIBERA,41.232349,-6.523638,2002-09-05,545,1325,4,Sin datos,44,2,1,0,5040
2004241130,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,ENCINEDO,42.265003,-6.640489,2004-02-14,0,0,4,Sin datos,1,0,0,0,3840
2005240331,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,BENUZA,42.382877,-6.671312,2005-03-18,345,405,4,Sin datos,20,0,2,0,0
2005240363,100.0,0,0,CASTILLA Y LEON,LEON,GRADEFES,ALMANZA,42.673184,-5.008936,2005-03-20,325,325,4,Sin datos,42,4,2,0,0
2005490334,100.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,TREFACIO,42.146132,-6.649649,2005-03-10,360,390,4,Sin datos,33,0,4,2042,0
2005490482,100.0,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,PEDRALBA DE LA PRADERIA,41.987528,-6.665822,2005-05-01,480,1590,4,Provocados por campesinos para eliminar matorral y residuos agrÃ­colas,31,3,1,7721,0
2006490076,100.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.059527,-6.970612,2006-04-13,1440,1950,4,Sin datos,4,1,0,0,0
2008240016,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,TRUCHAS,42.268979,-6.414877,2008-01-24,2017,2017,4,Provocados por cazadores para facilitar la caza,2,0,0,0,0
2008240277,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,TRUCHAS,42.286514,-6.316709,2008-03-21,413,463,4,Provocados por pastores y ganaderos para regenerar el pasto,33,2,9,0,0
2009240700,100.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,TRUCHAS,42.269842,-6.457264,2009-09-11,390,1170,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),133,2,5,0,0
